Vcell1, current, time, supply voltage, supply current, temperature
4.166330350446569,0.025449925752854832,2022_02_03_11_38_25,4.2,0.588,18.58
4.166658932933346,0.026271357932770037,2022_02_03_11_38_26,4.2,0.588,18.58
4.166166059203747,0.02659993080476422,2022_02_03_11_38_27,4.2,0.587,18.58
4.16715180666634,0.023478488521458327,2022_02_03_11_38_28,4.2,0.587,18.58
4.16715180666634,0.023314202085533527,2022_02_03_11_38_30,4.2,0.586,18.58
4.166658932933346,0.024792780008993966,2022_02_03_11_38_31,4.2,0.586,18.58
4.166658932933346,0.02659993080476422,2022_02_03_11_38_32,4.2,0.585,18.58
4.166987515421631,0.027257076548801433,2022_02_03_11_38_33,4.2,0.584,18.58
4.167316097911428,0.024792780008993966,2022_02_03_11_38_34,4.2,0.584,18.58
4.166987515421631,0.026107071496778995,2022_02_03_11_38_35,4.2,0.584,18.58
4.166658932933346,0.02528563931688372,2022_02_03_11_38_36,4.2,0.583,18.58
4.1668232241773,0.023971347829255446,2022_02_03_11_38_37,4.2,0.583,18.58
4.16715180666634,0.024464207137086972,2022_02_03_11_38_38,4.2,0.582,18.58
4.166987515421631,0.023478488521458327,2022_02_03_11_38_40,4.2,0.582,18.58
4.166494641689768,0.022328483470063252,2022_02_03_11_38_41,4.2,0.581,18.58
4.167480389156892,0.028407081601025702,2022_02_03_11_38_42,4.2,0.58,18.58
4.167316097911428,0.02249276990596569,2022_02_03_11_38_43,4.2,0.58,18.58
4.16715180666634,0.024135634265195445,2022_02_03_11_38_44,4.2,0.579,18.58
4.16715180666634,0.026435644368765106,2022_02_03_11_38_45,4.2,0.578,18.58
4.16715180666634,0.02528563931688372,2022_02_03_11_38_46,4.2,0.578,18.58
4.1668232241773,0.0256142121888299,2022_02_03_11_38_47,4.2,0.577,18.58
4.166987515421631,0.019864186931959276,2022_02_03_11_38_49,4.2,0.577,18.58
4.1668232241773,0.0249570664449533,2022_02_03_11_38_50,4.2,0.576,18.58
4.167316097911428,0.02249276990596569,2022_02_03_11_38_51,4.2,0.575,18.58
4.1679732628955515,0.023971347829255446,2022_02_03_11_38_52,4.2,0.575,18.58
4.167480389156892,0.025942785060791968,2022_02_03_11_38_53,4.2,0.574,18.58
4.167644680402734,0.023478488521458327,2022_02_03_11_38_54,4.2,0.573,18.58
4.167644680402734,0.025449925752854832,2022_02_03_11_38_55,4.2,0.573,18.58
4.166987515421631,0.024792780008993966,2022_02_03_11_38_56,4.2,0.572,18.58
4.167644680402734,0.025449925752854832,2022_02_03_11_38_58,4.2,0.572,18.58
4.167644680402734,0.026271357932770037,2022_02_03_11_38_59,4.2,0.571,18.58
4.167644680402734,0.025942785060791968,2022_02_03_11_39_00,4.2,0.571,18.58
4.167808971648954,0.022164197034164487,2022_02_03_11_39_01,4.2,0.57,18.58
4.167808971648954,0.027257076548801433,2022_02_03_11_39_02,4.2,0.57,18.58
4.167808971648954,0.026107071496778995,2022_02_03_11_39_03,4.2,0.569,18.58
4.168301845389879,0.0249570664449533,2022_02_03_11_39_04,4.2,0.569,18.58
4.167808971648954,0.025121352880916548,2022_02_03_11_39_05,4.2,0.568,18.58
4.167644680402734,0.02429992070113928,2022_02_03_11_39_07,4.2,0.568,18.58
4.168137554142526,0.0256142121888299,2022_02_03_11_39_08,4.2,0.567,18.58
4.168301845389879,0.025449925752854832,2022_02_03_11_39_09,4.2,0.566,18.58
4.1679732628955515,0.019864186931959276,2022_02_03_11_39_10,4.2,0.566,18.58
4.168137554142526,0.024792780008993966,2022_02_03_11_39_11,4.2,0.566,18.58
4.167808971648954,0.023478488521458327,2022_02_03_11_39_12,4.2,0.565,18.58
4.168137554142526,0.0267642172407674,2022_02_03_11_39_13,4.2,0.564,18.58
4.1679732628955515,0.023149915649612492,2022_02_03_11_39_14,4.2,0.563,18.58
4.168301845389879,0.02249276990596569,2022_02_03_11_39_15,4.2,0.563,18.58
4.167644680402734,0.02084990554710486,2022_02_03_11_39_17,4.2,0.562,18.58
4.168137554142526,0.020192759803660504,2022_02_03_11_39_18,4.2,0.561,18.58
4.168301845389879,0.025121352880916548,2022_02_03_11_39_19,4.2,0.561,18.58
4.1679732628955515,0.023314202085533527,2022_02_03_11_39_20,4.2,0.561,18.58
4.168466136637609,0.026107071496778995,2022_02_03_11_39_21,4.2,0.56,18.58
4.1679732628955515,0.02265705634187182,2022_02_03_11_39_22,4.2,0.56,18.58
4.168301845389879,0.021178478418848224,2022_02_03_11_39_23,4.2,0.559,18.58
4.168794719134203,0.02199991059826938,2022_02_03_11_39_24,4.2,0.558,18.58
4.1679732628955515,0.023314202085533527,2022_02_03_11_39_26,4.2,0.558,18.58
4.168630427885717,0.023149915649612492,2022_02_03_11_39_27,4.2,0.557,18.58
4.168466136637609,0.02429992070113928,2022_02_03_11_39_28,4.2,0.557,18.58
4.168301845389879,0.0236427749573869,2022_02_03_11_39_29,4.2,0.556,18.58
4.168466136637609,0.023314202085533527,2022_02_03_11_39_30,4.2,0.556,18.58
4.1691233016323075,0.02249276990596569,2022_02_03_11_39_31,4.2,0.555,18.58
4.168794719134203,0.02150705129060587,2022_02_03_11_39_32,4.2,0.554,18.58
4.168794719134203,0.022821342777781656,2022_02_03_11_39_33,4.2,0.554,18.58
4.168466136637609,0.02380706139331927,2022_02_03_11_39_34,4.2,0.554,18.58
4.168959010383066,0.021835624162377918,2022_02_03_11_39_36,4.2,0.553,18.58
4.168301845389879,0.02199991059826938,2022_02_03_11_39_37,4.2,0.552,18.58
4.168466136637609,0.022821342777781656,2022_02_03_11_39_38,4.2,0.552,18.58
